ID;Name;Test value bioregion 1;Test value bioregion 2;Test value bioregion 3;Test value bioregion 4;Test value bioregion 5;Test value bioregion 6;Test value bioregion 7;Test value bioregion 8;Species group
80410;Agrimonia eupatoria L., 1753;-4,52195828576156;-1,10523552087728;-2,41707323163785;13,5527583350899;-3,9962207785415;-8,25795468734971;6,55616318797543;-8,86100015653103;n
80417;Agrimonia procera Wallr., 1840;-0,669008695190168;-0,697839840575052;-1,3840287882342;-0,910919156873121;3,43778126358484;-0,627961659361977;2,55952077493787;-0,830681230108778;a
80446;Agropyron cristatum (L.) Gaertn., 1770;-0,386252350258244;-0,402898019807252;-0,799069393453207;0,700990583204924;-0,317992620231631;-0,362553833073402;1,47774000840682;-0,479594031814073;a
80546;Agrostemma githago L., 1753;-2,14147719851708;-2,36414175580669;-3,78114199594182;3,98186194666253;-1,84350302595936;0,0325917675052549;7,11387576059028;-3,83717196933656;i
80564;Agrostis alpina Scop., 1771;-4,06942102354645;-4,24479403439921;-8,41871845392504;-12,0040544076667;-3,35026014272286;-3,22952908168689;1,60628585286232;37,8818414544819;s
80590;Agrostis canina L., 1753;-2,36530292520866;1,28188436368001;-4,25021667206616;-5,77509351352855;0,308971465743457;17,0731821875274;-1,91742415505726;2,45792403471643;h
80591;Agrostis capillaris L., 1753 (s. str.);-6,51013829995399;-4,54811559821222;-12,2705805271128;-8,1422607425212;2,74721056559271;9,01590303458828;12,4698261770663;12,4396943050142;p
80593;Agrostis castellana Boiss. & Reut., 1842;-1,57242593244839;20,0529705037564;-4,43108704922718;-2,66767297360524;-0,397178717177855;-1,33964680979216;-2,38642273299913;-2,77353353329041;d
80639;Agrostis gigantea Roth, 1788;-2,1830199137016;-1,88632275075145;-3,38738722755402;5,0256964668023;-1,13814439511624;-2,00054239682706;5,62173659870434;-3,25276498170052;i
80729;Agrostis rupestris All., 1785;-4,13308063557462;-4,31119707792943;-8,55041589870902;-12,1918387243878;-3,40266962791623;-3,5889345056506;-0,824093978611255;41,6538250890963;s
80739;Agrostis schleicheri Jord. & Verl., 1855;-1,12610943681338;-1,17463948601226;-2,32966759693443;-3,32181872317404;-0,927099835743225;-1,05701697997139;3,21142638752042;7,31821702280987;j
